ID,Level Description,Category,DisplayName,InternalName?,Summary,Full_Description,CTAButtonTitle,Action_Provider,CTAURL,DDMType,EvidenceBasisURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Applicable Wellness Levels (separated by comma),Applicable Pillar (pillar name separated by comma),Score,Maintenance Ref,Region,Postcode,Free_paid,retrocession,Frequency,Periodicity,Total Iterations,Topic,Ml-MOT Flag
3015,Social/community engagement,Expand,Plan an adventure,3015,Embark on an exciting group adventure.,Strengthen connections with friends and extended family members by planning an adventure based trip together for an unforgettable experience.,,,https://www.halixia.com/ma/plan-an-adventure-3015,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Community,2,,,,Free,,,,,"F&F,Something New",Y
3016,Social/community engagement,Belong,Heritage Trip,3016,Explore your cultural and ancestral heritage.,Embark on a journey with family or friends to reconnect with your ancestral roots and enrich your understanding of your heritage.,,,https://www.halixia.com/ma/heritage-trip-3016,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Community,2,,,,Free,,,,,"F&F,Something New,Family history,travel",Y
3017,Social/community engagement,Expand,Local Food Tour,3017,Take a culinary adventure in your community.,"Plan a food tour in your city or nearby town. Explore local restaurants and cuisines, fostering a sense of community and supporting local businesses.",,,https://www.halixia.com/ma/local-food-tour-3017,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Community,2,3018,,,Free,,,,,"F&F,Something New",Y
3018,Social/community engagement,Expand,Plan a food tour,3018,Connect through cuisine.,"Organise or join local food tours to savour diverse dishes, bond with your community, and uplift local eateries.",,Buyagift,https://www.awin1.com/cread.php?awinmid=273&awinaffid=1198638&ued=https%3A%2F%2Fwww.buyagift.co.uk%2Ffood-and-drink,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Community,1,,,,Paid,,monthly,1 year,12,,
3019,Giving back,Expand,Cultural exchange,3019,Immerse in a cultural exchange experience.,Foster cross-cultural understanding by travelling with a group to a different region or country and engaging in full cultural immersion.,,,https://www.halixia.com/ma/cultural-exchange-3019,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",5,Community,2,,,,Free,,,,,"Give Back,Something New,travel",Y
3020,Giving back,Contribute,Travel exchange,3020,Engage in a community travel exchange.,"Establish a program where community members host and are hosted by other communities, promoting cross-cultural connections.",,,https://www.halixia.com/ma/travel-exchange-3020,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",5,Community,3,3021,,,Free,,,,,"Give Back,Something New,Travel",Y
3021,Giving back,Contribute,Travel exchange,3021,Cultivate global community ties.,"Continuously participate in community travel exchange programs, connecting with people from around the world and contributing to a global network of friendship and cultural exchange.",,Servas,https://servas.org/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",5,Community,1,,,,Paid,,every 6 months,2 years,4,,
3022,Giving back,Contribute,Charity challenge,3022,Collaborate on a charitable challenge.,"Discover how you could plan a group charity challenge with family, friends or work colleagues to support a cause you all care about. Whether it's building houses, helping in a local school, or assisting a wildlife sanctuary, contributing together strengthens your relationships and the impact you make.",,,https://www.halixia.com/ma/charity-challenge-3022,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",5,Community,3,3023,,,Free,,,,,"Give Back,Something New",Y
3023,Giving back,Contribute,Plan a challenge,3023,Unite for a cause.,"Regularly set up and participate in group charity challenges to bond with others, create meaningful change, and uplift communities in need.",,Different Travel,https://www.different-travel.com/charity-challenges/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",5,Community,1,,,,Free,,every 6 months,2 years,4,,
3024,Advanced brain & body fitness,Exercise,Joint pain activity,3024,Help in managing joint pain while exercising to stay active.,"When you have joint pain it is important to stay active to improve flexibility, and enhance overall wellbeing. There are simple things you can do to keep safe and get the best out of your exercise routine.",Read,,https://www.halixia.com/ma/joint-pain-activity-3024,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Health,2,3025,,,Free,,,,,,
3025,Advanced brain & body fitness,Exercise,Stay active,3025,Manage your joint health whilst exercising.,"Engage in low-impact exercises regularly, focusing on joint-friendly activities like swimming, yoga, or walking to support joint health.",Sign up,aZengear,https://www.awin1.com/cread.php?awinmid=54025&awinaffid=1198638&ued=https%3A%2F%2Fazengear.com,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Health,1,,,,Paid,,3 times a week,2 months,24,,
487,Optimal health,Body,Your optimal self,487,How to be your optimal self.,"Learn about how to become your optimal self to help you live a better, longer more fulfilled life.",Read,,https://www.halixia.com/ma/your-optimal-self-487,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",5,Health,1,488,,,Free,,,,,"Disease Mgt,Wellbeing",Y
488,Optimal health,Body,Your optimal self,488,Become your optimal self.,"Build in a daily habit of reading, listening to podcasts, meditating to become the optimal version of yourself, helping you live a better longer life.",Signup,Psychology Today,https://www.psychologytoday.com/us/blog/making-change/201512/five-ways-help-become-your-ideal-self,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",5,Health,1,,,,Free,,daily,1 month,28,,
3028,Preventative care,Mind,Benefits of sex,3028,Embrace sex at all ages.,"Understand that sexual wellbeing evolves over time, and open communication is key to maintaining satisfying intimate connections regardless of age.",Read,,https://www.halixia.com/ma/benefits-of-sex-3028,Development,,18-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",2,Health,2,3029,,,Free,,,,,,
3029,Preventative care,Mind,More sex to suit you,3029,Nurture lifelong intimacy.,"Continuously communicate with your partner, adapt to changing needs, and prioritise sexual health and connection at every stage of life.",Sign up,So Divine,https://www.awin1.com/cread.php?awinmid=28367&awinaffid=1198638&ued=https%3A%2F%2Fso-divine.com%2F,Maintenance,,18-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",2,Health,1,,,,Paid,,2 times a week,3 months,24,,
3030,Giving back,Expand,Book clubs,3030,Start your own book club and find your book people.,"Share your love of reading with others and engage in stimulating discussions, broaden perspectives, and foster a sense of community through shared reading experiences.",Read,,https://www.halixia.com/ma/book-clubs-3030,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",5,Community,2,3031,,,Free,,,,,"Hobby,Something New,Social groups,Reading",Y
3031,Giving back,Expand,Create a book club,3031,Start reading and connecting.,"Regularly hold book club meetings, embracing diverse literary genres and engaging in thoughtful conversations.",Sign up,WHSmith,https://www.awin1.com/cread.php?awinmid=3017&awinaffid=1198638&ued=https%3A%2F%2Fwww.whsmith.co.uk%2F,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",5,Community,1,,,,Paid,,monthly,1 year,12,,
3032,Social/community engagement,Expand,Global petsitting,3032,Travel the world with free accommodation while petsitting.,"Experience global travel by caring for someone else's pets, enjoying cost-free accommodations, and immersing yourself in new cultures.",Visit site,,https://www.halixia.com/ma/global-petsitting-3032,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Community,2,3033,,,Paid,,,,,"Something New,Petsitting,Travel",Y
3033,Social/community engagement,Expand,Petsit and travel,3033,Explore the world through petsitting.,"Join international petsitting platforms, build trust with pet owners, and embark on exciting new immersive travel experiences while looking after someone else's pets.",Sign up,TrustedHousesitters,https://www.trustedhousesitters.com/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Community,1,,,,Paid,,every 6 months,2 years,4,,
3034,Inner circle,Belong,Romantic getaway,3034,Strengthen relationships with regular getaways.,"Rekindle romance, deepen connections, and create lasting memories through romantic retreats.",Visit site,,https://www.halixia.com/ma/romantic-getaway-3034,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Community,3,3035,,,Free,,,,,"F&F,Relationships",Y
3035,Inner circle,Belong,Getaway for love,3035,Recharge your love.,"Plan regular romantic getaways to rejuvenate your relationship, share new experiences, and keep the spark alive.",Sign up,Titan Travel,https://www.awin1.com/cread.php?awinmid=4282&awinaffid=1198638&ued=https%3A%2F%2Fwww.titantravel.co.uk%2F,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Community,1,,,,Paid,,every 6 months,2 years,4,,
3036,Advanced brain & body fitness,Nutrition,Drink more coffee,3036,Enjoy coffee's benefits.,"Indulge in moderate coffee consumption for increased alertness, potential antioxidant benefits, and improved mood.",Read,,https://www.halixia.com/ma/drink-more-coffee-3036,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Health,2,3037,,,Free,,,,,,
3037,Advanced brain & body fitness,Nutrition,Take a coffee break,3037,Enjoy a regular coffee break.,"Consume coffee in moderation, appreciating its potential benefits while being mindful of your individual tolerance and sensitivity.",Sign up,RealFoodHub,https://www.awin1.com/cread.php?awinmid=20241&awinaffid=1198638&ued=https%3A%2F%2Fwww.realfoodhub.co.uk%2Fsupplier-listing%2Frise-coffee-box,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Health,1,,,,Paid,,weekly,6 months,26,,
3038,Advanced brain & body fitness,Nutrition,Love chocolate,3038,Indulge in dark chocolate.,"Enjoy the rich flavour of dark chocolate while potentially benefiting from its antioxidants, mood-enhancing compounds, and potential heart health effects.",Read,,https://www.halixia.com/ma/love-chocolate-3038,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Health,2,3039,,,Free,,,,,,
3039,Advanced brain & body fitness,Nutrition,Dark chocolate break,3039,Savour the benefits of dark chocolate.,"Incorporate moderate amounts of dark chocolate into your diet as a satisfying treat, mindful of its potential health benefits.",Sign up,RealFoodHub,https://www.awin1.com/cread.php?awinmid=20241&awinaffid=1198638&ued=https%3A%2F%2Fwww.realfoodhub.co.uk%2Fs%2FDark%2520chocolate,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Health,1,,,,Paid,,weekly,6 months,26,,
3040,Advanced brain & body fitness,Nutrition,Hot chocolate break,3040,Embrace hot chocolate's perks.,"Delight in hot chocolate for its potential antioxidant content, mood-lifting properties, and comforting warmth.",Read,,https://www.halixia.com/ma/hot-chocolate-break-3040,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Health,2,3041,,,Free,,,,,,
3041,Advanced brain & body fitness,Nutrition,Have a hot chocolate,3041,Enjoy chocolatey warmth and wellness.,"Treat yourself to a warm cup of dark cocoa-based hot chocolate, appreciating its potential healthful aspects and soothing qualities.",Sign up,Hotel Chocolat,https://www.hotelchocolat.com/uk/shop/collections/products/the-velvetiser/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Health,1,,,,Paid,,weekly,6 months,26,,
3042,Identifying upskill opportunities,Upskill,Soft skills,3042,Develop your soft skills.,"Cultivate interpersonal abilities, communication, and adaptability to excel in personal and professional interactions.",Visit site,,https://www.halixia.com/ma/soft-skills-3042,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",2,Learning,1,3043,,,Free,,,,,"Upskilling,Soft skills",Y
3043,Identifying upskill opportunities,Upskill,Learn new skills,3043,Sharpen your soft skills.,"Continuously refine your soft skills through practice, feedback, and learning opportunities, positioning yourself for success in various contexts.",Sign up,Udemy,https://click.linksynergy.com/deeplink?id=L8N3em0sP4o&mid=47900&murl=https://www.udemy.com/courses/search/?src=ukw&amp;q=soft&#43;skills,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",2,Learning,1,,,,Paid,,weekly,6 months,26,,
